iter	Logloss	Accuracy:use_weights=true	Accuracy:use_weights=false
78	0.6185185037	0.8988289471	0.779494382
79	0.6176947235	0.8988289471	0.779494382
80	0.6169382535	0.8988289471	0.779494382
81	0.6160803762	0.8988289471	0.779494382
82	0.6152445436	0.8988289471	0.779494382
83	0.6144985004	0.8988289471	0.779494382
84	0.6136995005	0.8988289471	0.779494382
85	0.6128989786	0.8988289471	0.779494382
86	0.612082645	0.8988289471	0.779494382
87	0.6113796585	0.8988289471	0.779494382
88	0.6105370105	0.8988289471	0.779494382
89	0.6097340076	0.8988289471	0.779494382
90	0.6089895812	0.8988289471	0.779494382
91	0.6082939755	0.8988289471	0.779494382
92	0.6074114214	0.8988289471	0.779494382
93	0.606590501	0.8988289471	0.779494382
94	0.6057703013	0.8988289471	0.779494382
95	0.6048946233	0.8988289471	0.779494382
96	0.6040574178	0.8988289471	0.779494382
97	0.6031959622	0.8988289471	0.779494382
98	0.6023415082	0.8988289471	0.779494382
99	0.6015481817	0.8988289471	0.779494382
100	0.6007473252	0.8988289471	0.779494382
101	0.6000190173	0.8988289471	0.779494382
102	0.5992529272	0.8988289471	0.779494382
103	0.5984901251	0.8988289471	0.779494382
104	0.5976708649	0.8988289471	0.779494382
105	0.5968324252	0.8988289471	0.779494382
106	0.5960457784	0.8988289471	0.779494382
107	0.5952325466	0.8988289471	0.779494382
108	0.5945683037	0.8988289471	0.779494382
109	0.5937943923	0.8988289471	0.779494382
110	0.5930049149	0.8988289471	0.779494382
111	0.5921372994	0.8988289471	0.779494382
112	0.5913084677	0.8988289471	0.779494382
113	0.5905487776	0.8988289471	0.779494382
114	0.5897722014	0.8988289471	0.779494382
115	0.5889769462	0.8988289471	0.779494382
116	0.5881882644	0.8988289471	0.779494382
117	0.5874062113	0.8988289471	0.779494382
118	0.5866133383	0.8988289471	0.779494382
119	0.5858079323	0.8988289471	0.779494382
120	0.5850223248	0.8988289471	0.779494382
121	0.5842560593	0.8988289471	0.779494382
122	0.5834406351	0.8988289471	0.779494382
123	0.5826676495	0.8988289471	0.779494382
124	0.5819093552	0.8988289471	0.779494382
125	0.5812416414	0.8988289471	0.779494382
126	0.5804973073	0.8988289471	0.779494382
127	0.5796922838	0.8988289471	0.779494382
128	0.5789638975	0.8988289471	0.779494382
129	0.5781941069	0.8988289471	0.779494382
130	0.5773720129	0.8988289471	0.779494382
131	0.57656118	0.8988289471	0.779494382
132	0.5758354137	0.8988289471	0.779494382
133	0.5751297337	0.8988289471	0.779494382
134	0.5746125546	0.8988289471	0.779494382
135	0.5738450154	0.8988289471	0.779494382
136	0.5731104989	0.8988289471	0.779494382
137	0.5723658998	0.8988289471	0.779494382
138	0.5716461051	0.8988289471	0.779494382
139	0.5709090843	0.8988289471	0.779494382
140	0.5701445303	0.8988289471	0.779494382
141	0.569485853	0.8988289471	0.779494382
142	0.5687807304	0.8988289471	0.779494382
143	0.5680035272	0.8988289471	0.779494382
144	0.5672642114	0.8988289471	0.779494382
145	0.5665862506	0.8988289471	0.779494382
146	0.5658656246	0.8988289471	0.779494382
147	0.5651560217	0.8988289471	0.779494382
148	0.5645559683	0.8988289471	0.779494382
149	0.5637774975	0.8988289471	0.779494382
150	0.5630296233	0.8988289471	0.779494382
151	0.5623082176	0.8988289471	0.779494382
152	0.561563708	0.8988289471	0.779494382
153	0.5608289987	0.8988289471	0.779494382
154	0.5600597555	0.8988289471	0.779494382
155	0.5593211335	0.8988289471	0.779494382
156	0.558566322	0.8988289471	0.779494382
157	0.5578415927	0.8988289471	0.779494382
158	0.557123969	0.8988289471	0.779494382
159	0.556442293	0.8988289471	0.779494382
160	0.5557580677	0.8988289471	0.779494382
161	0.5550767373	0.8988289471	0.779494382
162	0.5544250923	0.8988289471	0.779494382
163	0.5537314406	0.8988289471	0.779494382
164	0.5530969626	0.8988289471	0.779494382
165	0.5523661713	0.8988289471	0.779494382
